review_text,reviewer_name,review_title,review_date,review_star_ratings
"Poorly packaged, dirty and well used. Advertised as new but no box or nothing",Michael Girvan,Dirty & Used,September 2022,1.0 out of 5 stars
"This Nintendo Switch really makes me so happy and keeps me occupied during the quiet moments at work (remote working of course). The eshop is always full of offers and games on sale, really great games too! The variety of choices you get is enough to really make anyone happy. The only thing I wish I had done differently is getting the joycons in grey, just so they would fit any case a bit better.",sasybi,Best purchase I've ever made! makes me so happy,September 2022,5.0 out of 5 stars
It was well preserved like new!,Carlos,It’s so good!,September 2022,5.0 out of 5 stars
Amazing.,Lisa,Amazing,September 2022,5.0 out of 5 stars
"Love the versatility between handheld and TV console.  Great to use solo or with friends and family, battery life has never been an issue with 5 hours plus play!",Matt,Best that Nintendo have made!,September 2022,5.0 out of 5 stars
I like the Nintendo switch,John,Good,September 2022,5.0 out of 5 stars
"I ordered this on Saturday evening. It said it would be delivered Monday.Come Sunday morning I was surprised to receive the nintendo switch.Well packaged, everything specified was included. Works perfectly.No issues whatsoever.One happy child of mine after the other nintendo broke.Thank you.",Kindle Customer,Speedy delivery,September 2022,5.0 out of 5 stars
"It's good - but the titles selection are surprisingly limited, I got this as the wife wanted one for her birthday - but it is telling that as of this moment it spends more time gathering dust than ever being used.",Mr. R. H. Adams,Easy to set up,September 2022,3.0 out of 5 stars
It was bought as a gift and I am awaiting feedack,Riseup-ttt,Exactly what I ordered,August 2022,4.0 out of 5 stars
That he can go on line and buy a game straight away,Tina Lomax,Bought for hubby he's loves it,August 2022,5.0 out of 5 stars
"Not using it that much, but good for entertainment.",Pinion24,Good for entertainment.,29 December 2021,5.0 out of 5 stars
My children love this Nintendo switch used every day,Amy,As described,29 December 2021,5.0 out of 5 stars
Nothing my grandkids were so upset!!,Amazon Customer,Bought this for my grandkids for Christmas won’t even turn on!!,28 December 2021,1.0 out of 5 stars
"I have returned the item after it froze so many times. Still being charged for it. Amazon, are you able to help?",Amazon Customer,Awful Product & Service,27 December 2021,1.0 out of 5 stars
"Really good, my 7 year old was made up with it, great hand held and really good on the tv",Amazon Customer,One happy boy at Xmas,27 December 2021,5.0 out of 5 stars
Great 👍,Ervina Lalic,My son loves it ...,27 December 2021,5.0 out of 5 stars
"faulty on second day, merry christmas!",S. A. Barnes,lasted a day,27 December 2021,1.0 out of 5 stars
Great console for hours of fun especially for the kids ( of all ages ),Mark Johnson,Hours of fun,27 December 2021,5.0 out of 5 stars
"My 6-year-old loves this games console. He found it easy to learn how to use, and I really like the fact that you can use it handheld or with the TV.",Sarah Davies,Good console for younger child,27 December 2021,5.0 out of 5 stars
Has a faulty controler . Pulls to the right.,james,Has a faulty controler. It pulls to the right,25 December 2021,2.0 out of 5 stars
Very happy and one happy child,Joanna ledsam,Very happy,19 December 2021,5.0 out of 5 stars
Bought for my wife and she uses it everyday so great bit of kit,Ant 1,Absolutely fantastic,17 December 2021,5.0 out of 5 stars
Excellent product.,Macca,Switch,16 December 2021,5.0 out of 5 stars
Got this for my son for XmasHe absolutely loves itGreat productDelivered fastHe absolutely loves it,Hollie kelly,My sons favourite thing,12 December 2021,5.0 out of 5 stars
"I ordered this as a Christmas present for my soon to be 3 year old little girl, not knowing much about the product I also ordered a protective bumper pack ( screen protectors, case, silicone for device, headphones, stylus pen etc ) I ordered it and both parcels came the next day, I put her to bed that night and opened up the parcels so I could set it up so it was ready for her on Christmas Day, nothing worse than a excited child wanting to play and having to do updates and make accounts then download games etc I opened the actual Nintendo switch box and I was AMAZED!! At what was actually in there, there’s the device, the little coloured controllers that go on the side of it, a docking/charging station, all the leads, and a hand held controller pad that you put the controllers off the side of the device into to make it a hand held gaming controller and you play it separately from the device, as a first time buyer I was shocked but really really and I mean REAAAALLY happy that all these little bits and bobs where in there to, I thought I would have had to spend even more money on extras like the docking station and hand held controller etc, seriously worth every single penny I paid for it and one very happy customer, glad I just went for it and I can’t wait to see my baby girls face on Christmas morning 😊🥰 wow!!! My fingers are hurting now 😂😂 was only meant to be a small brief review but couldn’t contain my amazement on the value for money",Sam brown,Quick delivery/spot on description,5 December 2021,5.0 out of 5 stars
"Arrived quickly. In good condition, nothing to complain about.",Kathleen Joubert,Very happy,3 December 2021,5.0 out of 5 stars
My son will love his new Nintendo for Xmas I loved the price and the fast delivery,Laura Price,Fast delivery and got Nintendo switch at good price,23 November 2021,5.0 out of 5 stars
With how it works and the picture on a 50 inch tv as well as it's own screen. The way everything has been designed to just work together. 👍,p,I have tested this Christmas present and I am impressed,19 November 2021,5.0 out of 5 stars
Very cool gaming console,Tom,It is the best,13 November 2021,5.0 out of 5 stars
"Was a bit late with my order for Christmas, placed my order on 24th, and amazingly got it delivered on 25th (without any extra shipping costs). My boys were super happy :)",Alex S.,Super!,7 November 2021,5.0 out of 5 stars
